file,correct_lexical_overlap,correct_subsequence,correct_constituent,incorrect_lexical_overlap,incorrect_subsequence,incorrect_constituent
A_res/res2_with_heuristic.tsv,48.33,53.26,57.52,51.67,46.739999999999995,42.480000000000004
A_res/res0_with_heuristic.tsv,49.57,49.230000000000004,50.92,50.43,50.77,49.08
A_res/res1_with_heuristic.tsv,47.05,48.980000000000004,52.51,52.949999999999996,51.019999999999996,47.49
A_res/res3_with_heuristic.tsv,50.67,45.519999999999996,55.989999999999995,49.33,54.48,44.01
A_res/res4_with_heuristic.tsv,49.88,46.43,58.74,50.12,53.56999999999999,41.260000000000005
